Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
114,ETA Jean Gielen asbl,"Major-4.13.7-Deviation:
 The effectiveness of the measures is monitored by an external service provider, who analyses trends on a quarterly basis. However, the following points were noted:
 
 - Inconsistency between the last report and on-site observations: The Q1 2025 report does not indicate any major signs of infestation. Yet, during the audit, rodent droppings were observed in several areas, including the raw materials storage shop (owned by a customer). Signs of major infestation were obser",4.13.7,OK,
115,Rüther Gewürze GmbH,Discontinuation of production,,MISSING,
117,ALIMENTOS CONGELADOS CARRASCAL S.A.,Cessation of activity,,MISSING,
118,DULCES EL AVION S.A.,"Major non-conformity 4.3.2:
  With regard to the information contained in the labelling of the finished product, the following is evident:
  - The presence of plastic film on flowpacks of product references which include the sales denomination ‘Frutas de La Rioja bañadas con chocolate’ of the own brand ‘EL AVIÓN’. During the course of the audit, general certificates of origin of the fruit were requested from the two suppliers of candied fruit (CO---- LA--- and FR--- MO---), showing that the orig",4.3.2,OK,
119,So Fast So Good Société par actions simplifiée,"During the audit, a major non conformity was raised on item 5.5.1 : During the field audit, the production of Emmental Boursin sandwiches was observed. The packaged sandwiches were weighed on the ‘ASSEMBLAGE’ scale (SN identification 07210499), which is not a legal-for-trade scale (no green sticker). According to the site, sandwiches are sold ‘by the piece’ (the site has a file in which it defines which references must be weighed under ‘legal metrology’, i.e. with weighing on a legal metrology s",5.5.1,OK,
120,P&M Rental Sp. z o.o.,No payment for the audit done,,MISSING,
121,Belberry bv,"Major - 2.3.9.2
 The HACCP study indicates that during hot fill, the absolute minimum temperature is 72°. In the instructions for the operators is indicated that the minimum temperature is 75°, and they must measure the first and the last jar of each batch (90 or 180 kilo). We checked the registrations of 2025 and there were no deviations. During the audit, we assisted at the production and filling of pineapple jam. At the end of the production, the line has been stopped a few minutes before con",2.3.9.2,OK,
122,AGRO-LARROSA S.L,"During the audit completed on site on 28-29/05/2025 the following Major NS was identified:
 5.4.2 Major NC: It is verified that the scale used by the site to check the effective content of the packaging (code 81.06 serial number 510531) has been calibrated but has not been submitted to an official metrological control as stipulated in the Spanish regulations (Order ICf/755/2020), which means that this is a failure to comply with a legal requirement.",5.4.2,OK,
124,"CARNICAS CHAMBERI, S.L.","During the last recertification audit, it has been detected the following Major NC: 
 
 4.12.2 MAJOR NC Procedures to prevent foreign bodies contamination are not properly implemented. During the audit, the following observations were made: 
 -In the ham chamber, a trolley with hams awaiting reprocessing was observed; they were dirty with grease from the equipment, in direct contact with the floor and in direct contact with a trolley wheel that was in a poor state of cleanliness. 
 -In the proce","5.11.4, 5.4.1, 4.12.2",MULTIPLE,
127,BODEGAS MANZANOS S.L.U.,"A major non-conformity has been detected in requirement 4.3.2: In the ingredient information of the QR code of the product B.U rosé lot L0A3250228, the stabilizer (K polyaspartate) has not been included in accordance with the provisions of Regulation (EU) 2021/2117. The company states that it is not a fixed ingredient in all bottlings, but in this case it was dosed (according to bottling order and control records).",4.3.2,OK,
129,BO DE DEBÒ SL,"During the audit performed on 26th May 2025 to 28th May 202, it was detected a Major non-conformity under the requirement 4.3.2.
 
 Major non-conformity 4.3.2.
 during the visit to the plant, it was found that the product was being packaged and labelled under customer brand name Bxx Prxx; Texxx i Taxxx; espinacs a la catalana amb cigrons. The labelling is checked and it is only in Catalan. It has a QR code which can be used with a mobile device to download the information in English, Spanish and",4.3.2,OK,
130,ESKIMOS S.A. w Restrukturyzacji,No payment for the audit done.,,MISSING,
131,GRANJAS ECOLOGICAS SLU S.L.U.,"During the unannounced Integrity On-site ChecK has been detected 2 KOs: 2.3.9.1 Specific monitoring procedures in terms of method is no implemented for the CCP cooling after pasteurisation, indeed this CCP it’s not under control. E. g. during the on-site inspection it's noted that in the cooling chamber there is a chart with product already pasteurized (macaroni and chicken wings). On the top of the chart, the sample used to record the parameters time / temperature is crossed from the probe, but",4.18.1,OK,
132,Zanobeet S.L.,"A Major NC was raised during the IFS Integrity On-site Check on April 24, 2025.
 Description of the Major NC:
 Clause 4.13.2:
 “During the IOC it has been observed that the pest control plan is not correctly implemented:
 - Presence of reptile excrement (geckos) in the packaging area.
 -Presence of many rodent droppings in the machine used for sorting pumpkin. Not in use on the day of the IOC.
 - Presence of a lot of snails in the beetroot washing machine, floor of this area and walls of the pac",4.13.2,OK,
135,SOCIETA' AGRICOLA DE DEA MARKUS & WEISS KURT SS,The company decided to renounce,,MISSING,
136,Dutch Convenience Meat B.V.,"Integrity on-site check on 22-05-2025. The following KO and major have been observed:
 2.3.9.1 KO: Pasteurisation of sous vide spareribs is defined as CCP, with limits > 2 hrs > 75 °C core temperature. 
 Pasteurisation is done in a cooking cabin. The program is set on the temperature sensor in the core of a product. 
 The temperature of this sensor is monitored and recorded in Danfoss system. 
 The correct performance of the pasteurisation process (CCP) is checked 
 the day after pasteurisation ",2.3.9.4,OK,
139,BRF SA,"4.9.4.1 – MAJOR: 
  
 There was evidence of a hole in the ceiling next to the pipe (support structure) under the raw material conveyor in the IQF room. 
 Presence of a rusted ceiling at the start of the conveyor belt in the breast packing room. 
 Opening in the ceiling (trap door) near the breast silo (manual weighing) in the breast packing room. 
 Evidence of dripping from the ceiling onto the floor, near the conveyor belt where the boxes enter the continuous freezing tunnel 01. 
 Drip on the f",4.9.4.1,OK,
140,Bonomi S.p.a.,"Following the certification visit on 03,04,05/06/2025, and following a preliminary technical review, the certificate is suspended due to Major non-conformity
 In detail § 4.10.2
 During the on-site inspection (Savoiardi biscuit ""ladyfinger"" production department, lines 2 and 3), a situation of significant accumulation of sugar and flour residues was noted, in areas with and without exposed product.
 Below are some details: Aerial parts such as electrical cable ducts, electrical panels, pipes (wh",4.10.2,OK,
141,MACQUET SA,"Major - 4.5.3
 Non-Conformity – Halal Lamb Meatballs for Client Cxxx
 During the traceability exercise carried out on lot 52110367 (produced on May 21, 2025, and delivered on May 22, 2025), as well as during the audit conducted on June 3, 2025, concerning products in stock, the following deviation was identified: the product labeling is non-compliant with Regulation (EU) No. 1169/2011 on the provision of food information to consumers. Note: The client was initially informed about the composition",4.5.3,OK,
142,Lotus Bakeries België N.V.,"Major NC in 1.2.6. 
 An official warning was given by FASFC during an inspection of the site on 19/06/2024 with a mandatory action to correct the NC’s by 19/06/2024 (the same day). This incident was reported to the CB dd 28/3/2025.
 
 Given the observations made during the inspection and the proposed corrective action, the inspector closed the official warning immediately on 19/06/24 without follow-up visit. For that reason, it had been overlooked by the company to report the mandatory action an",1.2.6,OK,
143,LEROY EUROSALMON SAS,Client closed the site,,MISSING,
144,La Marchesa Soc. Coop. Agricola,"During On 28-May-2025 an Integrity On-site check the IFS IP assessor issue 2 Major NC related to 
 Requirement 2.3.9.4: Control measures, other than those defined for CCPs, shall be monitored, recorded and controlled by measurable or observable criteria.
 Evidence: batch 25148, expiry date 18/06/2025 was in the packaging step on line n° X and could not subsequently be subjected to control with the mobile metal detector as the packaging has a metal seal.
 Requirement 5.3.1The criteria for process","5.3.1, 2.3.9.4",MULTIPLE,
145,PAPES SAFOR S.L.,"Major NC issued after receiving the ENAC report (Receipt date: June 2, 2025) related to the follow-up audit conducted during the IFS Food v8 scheme renewal audit on May 19 and 20.
 Major Non-Conformity 4.5.3
 
 During the plant visit on May 20, 2025, the packaging on line 1, originating from the frying line, was observed to contain 120g GREFUSA brand ham-flavored wavy potatoes without any weight indication on the packaging. The deviation was not detected in the labeling controls (packaging secti","5.10.3, 4.5.3",MULTIPLE,
148,PASTELERIA MANDUL. S.L.,"During IOC audit conducted on 3rd of JUNE 2025 compny decided to stop the audit after 1 Major and KO were raised, only after 1.30 hours audit had started. 
 As we cannot guarantee that Majors/KOs and deviations could have been raised, certificate has been withdrawn.
 2.3.9.1. KO
 During the visit on site, among other facilities, the two product packaging rooms were visited:
 - Baby room: they were packing chock muffins under retailer brand.
 - Cake room: they were packing Starry pie under own br",2.3.6.1,OK,
